                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1095,                 4.0572,                 1.9295,                0.30386,                0.19728,                0.07454,                0.02658,                 2.1862,                 3.2417,                 2.0385,              0.0003326,              0.0003326,              0.0003326
                      2,                 2.0914,                 3.1921,                 1.8915,                 0.2952,                0.15583,                0.06103,                0.01932,                 2.3395,                 3.1156,                 2.1804,             0.00065275,             0.00065275,             0.00065275
                      3,                 2.0935,                 2.9386,                 1.8928,                0.18576,                0.21183,                0.11595,                 0.0418,                  2.206,                 2.8754,                 2.0652,             0.00095969,             0.00095969,             0.00095969
                      4,                 2.0468,                 2.8243,                 1.8664,                0.35892,                0.22001,                0.14137,                0.05184,                  2.165,                 2.8056,                 1.9991,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.9964,                 2.7265,                  1.822,                0.46181,                 0.2382,                0.18363,                0.06866,                  2.075,                 2.6868,                 2.0076,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.9671,                 2.6176,                 1.8077,                0.45009,                0.26646,                 0.2199,                0.08595,                 2.0569,                 2.5294,                 1.9482,               0.000901,               0.000901,               0.000901
                      7,                 1.9149,                 2.5501,                 1.7601,                0.47392,                0.28891,                0.23314,                0.09747,                 2.0087,                 2.5508,                  1.921,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.8925,                 2.4833,                 1.7397,                0.42878,                0.31924,                 0.2236,                0.09152,                      2,                 2.5767,                 1.8765,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.8777,                 2.4459,                 1.7292,                0.45489,                0.31865,                0.26533,                0.11462,                 1.9289,                 2.3552,                 1.8296,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.8539,                 2.4044,                 1.7082,                0.52112,                0.30905,                0.28384,                0.12643,                 1.9209,                 2.3177,                 1.8285,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.8267,                  2.367,                 1.6908,                0.54262,                0.30555,                0.29176,                0.12381,                 1.9321,                 2.3238,                 1.7977,               0.000802,               0.000802,               0.000802
